Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.5869,0.6970,0.9317,0.4586,0.505,0.894,1.0463,52.41
CSDI,0.5788,0.6756,0.9092,0.4584,0.475,0.880,1.5493,736.70
TSDiff-Cond,0.5857,0.6990,0.9328,0.4575,0.474,0.875,1.5295,659.30
TSDiff-Q,0.6163,0.7282,0.9516,0.4825,0.499,0.864,1.3694,394.81
TSDiff-MS,0.6504,0.7725,0.9932,0.5075,0.482,0.868,1.5210,391.13
ARIMA,0.7403,0.7396,1.1782,0.6187,0.614,0.853,6.1193,1073.75
