landscape,model,mae,crps,isce_central,isce_lower,ci10,ci20,ci30,ci40,ci50,ci60,ci70,ci80,ci90,q10,q20,q30,q40,q50,q60,q70,q80,q90
alanine_phi,NFTSF,0.4704,0.0011,0.0011,0.0012,0.1011,0.1988,0.2988,0.3941,0.4884,0.5863,0.6788,0.7813,0.8879,0.1095,0.2059,0.2979,0.3935,0.4949,0.5923,0.6920,0.7921,0.8908
alanine_phi,CSDI,0.4794,0.0024,0.0024,0.0016,0.0920,0.1833,0.2816,0.3723,0.4623,0.5571,0.6476,0.7468,0.8551,0.1300,0.2240,0.3188,0.4168,0.5136,0.6001,0.6911,0.7811,0.8768
alanine_phi,TSDiff-Cond,0.4798,0.0015,0.0015,0.0014,0.0980,0.1961,0.2964,0.3912,0.4811,0.5711,0.6653,0.7644,0.8692,0.1193,0.2132,0.3059,0.4053,0.5065,0.6015,0.6971,0.7843,0.8837
