Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.7722,0.7722,1.0980,0.5449,0.498,0.905,0.4551,338.31
CSDI,1.2980,1.2957,1.5034,0.9704,0.260,0.682,57.9936,746.83
TSDiff-Cond,0.8037,0.8032,1.1085,0.5670,0.472,0.884,0.8739,694.73
