train_loss,train_elbo_loss,epoch,step,valid_loss,valid_elbo_loss
0.21351829171180725,0.21351829171180725,0,127,,
0.09208350628614426,0.09208350628614426,1,255,,
0.07634500414133072,0.07634500414133072,2,383,,
0.06909075379371643,0.06909075379371643,3,511,,
0.06912051141262054,0.06912051141262054,4,639,,
0.06595819443464279,0.06595819443464279,5,767,,
0.0642789751291275,0.0642789751291275,6,895,,
0.06102166697382927,0.06102166697382927,7,1023,,
0.06003272160887718,0.06003272160887718,8,1151,,
0.060637153685092926,0.060637153685092926,9,1279,,
0.058427195996046066,0.058427195996046066,10,1407,,
0.0603005550801754,0.0603005550801754,11,1535,,
0.05785806104540825,0.05785806104540825,12,1663,,
0.05573805421590805,0.05573805421590805,13,1791,,
0.054024580866098404,0.054024580866098404,14,1919,,
0.05483124405145645,0.05483124405145645,15,2047,,
0.05377630516886711,0.05377630516886711,16,2175,,
0.05482476204633713,0.05482476204633713,17,2303,,
0.05466458946466446,0.05466458946466446,18,2431,,
0.052317943423986435,0.052317943423986435,19,2559,,
0.05116080120205879,0.05116080120205879,20,2687,,
0.052570801228284836,0.052570801228284836,21,2815,,
0.052792616188526154,0.052792616188526154,22,2943,,
0.052806343883275986,0.052806343883275986,23,3071,,
0.04960470646619797,0.04960470646619797,24,3199,,
0.0505581870675087,0.0505581870675087,25,3327,,
0.051519498229026794,0.051519498229026794,26,3455,,
0.05171770229935646,0.05171770229935646,27,3583,,
0.05049950256943703,0.05049950256943703,28,3711,,
0.05253162980079651,0.05253162980079651,29,3839,,
0.048330157995224,0.048330157995224,30,3967,,
0.05098366737365723,0.05098366737365723,31,4095,,
0.050919707864522934,0.050919707864522934,32,4223,,
0.050784882158041,0.050784882158041,33,4351,,
0.050888676196336746,0.050888676196336746,34,4479,,
0.05034952238202095,0.05034952238202095,35,4607,,
0.05129604414105415,0.05129604414105415,36,4735,,
0.04971296340227127,0.04971296340227127,37,4863,,
0.049150776118040085,0.049150776118040085,38,4991,,
0.05048889294266701,0.05048889294266701,39,5119,,
0.05071936175227165,0.05071936175227165,40,5247,,
0.049654074013233185,0.049654074013233185,41,5375,,
0.04862779751420021,0.04862779751420021,42,5503,,
0.04867694899439812,0.04867694899439812,43,5631,,
0.04811406880617142,0.04811406880617142,44,5759,,
0.04831354692578316,0.04831354692578316,45,5887,,
0.048771414905786514,0.048771414905786514,46,6015,,
0.04992905631661415,0.04992905631661415,47,6143,,
0.04889002442359924,0.04889002442359924,48,6271,,
,,49,6399,0.047818250954151154,0.047818250954151154
0.04893144592642784,0.04893144592642784,49,6399,,
0.048878274857997894,0.048878274857997894,50,6527,,
0.04770102724432945,0.04770102724432945,51,6655,,
0.047754380851984024,0.047754380851984024,52,6783,,
0.047408346086740494,0.047408346086740494,53,6911,,
0.04825124889612198,0.04825124889612198,54,7039,,
0.048932965844869614,0.048932965844869614,55,7167,,
0.04767150804400444,0.04767150804400444,56,7295,,
0.04647676646709442,0.04647676646709442,57,7423,,
0.04784483090043068,0.04784483090043068,58,7551,,
0.04698285087943077,0.04698285087943077,59,7679,,
0.0482775941491127,0.0482775941491127,60,7807,,
0.04726297780871391,0.04726297780871391,61,7935,,
