Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.6305,0.6305,0.8964,0.4448,0.498,0.905,0.4551,338.31
CSDI,0.6540,0.6535,0.8949,0.4609,0.460,0.883,1.0581,843.10
TSDiff-Cond,0.6562,0.6557,0.9050,0.4629,0.472,0.884,0.8739,694.73
