Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.7327,0.8663,1.1143,0.5504,0.505,0.899,1.1629,203.86
CSDI,0.7441,0.8634,1.1018,0.5641,0.487,0.864,1.6815,726.42
TSDiff-Cond,0.7402,0.8659,1.1107,0.5575,0.495,0.884,1.1935,683.92
