landscape,model,mae,crps,ci50,ci90
alanine_phi,NFTSF,0.4893,0.3385,0.4997,0.8838
alanine_phi,CSDI,0.4730,0.3251,0.4588,0.8348
alanine_phi,TSDiff-Cond,0.4881,0.3297,0.4887,0.8729
