Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.5869,0.6970,0.9317,0.4586,0.505,0.894,1.0463,52.41
CSDI,0.5788,0.6756,0.9092,0.4584,0.475,0.880,1.5493,736.70
TSDiff-Cond,0.5857,0.6990,0.9328,0.4575,0.474,0.875,1.5295,659.30
