landscape,model,mae_median,mae_mean,mae_sample,ci50,ci90,isce_central,q50,q90,isce_lower,time_elapsed
alanine_phi,NFTSF,0.471673,0.487243,0.633220,0.500533,0.894133,0.000701,0.472267,0.892267,0.001360,52.40
alanine_phi,CSDI,0.457590,0.472838,0.607114,0.486400,0.874400,0.001154,0.486933,0.877333,0.001318,725.80
alanine_phi,TSDiff-Cond,0.472938,0.488284,0.628754,0.489600,0.879467,0.000870,0.483200,0.887467,0.001110,673.75
