landscape,model,mae_median,mae_mean,mae_sample,isce,q10_cov,q20_cov,q30_cov,q40_cov,q50_cov,q60_cov,q70_cov,q80_cov,q90_cov
alanine_phi,NFTSF,0.4718,0.4872,0.6328,0.0013,0.0923,0.1856,0.2803,0.3755,0.4733,0.5680,0.6776,0.7813,0.8925
alanine_phi,CSDI,0.4725,0.4884,0.6216,0.0016,0.1051,0.1971,0.2837,0.3808,0.4696,0.5632,0.6605,0.7680,0.8683
alanine_phi,TSDiff-Cond,0.4742,0.4893,0.6292,0.0011,0.1035,0.2003,0.2904,0.3912,0.4824,0.5787,0.6853,0.7837,0.8859
