landscape,model,mae,crps,ci50,ci90
alanine_psi,NFTSF,0.5860,0.4581,0.4957,0.8947
alanine_psi,CSDI,0.5802,0.4575,0.4512,0.8592
alanine_psi,TSDiff-Cond,0.5800,0.4581,0.4509,0.8523
