landscape,model,mae,crps,isce_central,isce_lower,ci0,ci10,ci20,ci30,ci40,ci50,ci60,ci70,ci80,ci90,ci100,q0,q10,q20,q30,q40,q50,q60,q70,q80,q90,q100
alanine_phi,NFTSF,0.4775,0.0008,0.0008,0.0013,0.0000,0.0959,0.2023,0.3003,0.4016,0.4976,0.5963,0.6960,0.7952,0.8947,1.0000,0.0000,0.0953,0.1888,0.2756,0.3711,0.4701,0.5733,0.6772,0.7851,0.8905,1.0000
alanine_phi,CSDI,0.4749,0.0015,0.0015,0.0011,0.0000,0.0912,0.1845,0.2804,0.3828,0.4784,0.5704,0.6648,0.7663,0.8675,1.0000,0.0000,0.1144,0.2091,0.2965,0.3972,0.4859,0.5817,0.6793,0.7795,0.8807,1.0000
alanine_phi,TSDiff-Cond,0.4785,0.0011,0.0011,0.0011,0.0000,0.0972,0.1973,0.2953,0.3967,0.4913,0.5883,0.6811,0.7788,0.8755,1.0000,0.0000,0.1061,0.1921,0.2825,0.3837,0.4839,0.5811,0.6792,0.7804,0.8849,1.0000
