landscape,model,mae_median,mae_mean,mae_sample,isce,q10_cov,q20_cov,q30_cov,q40_cov,q50_cov,q60_cov,q70_cov,q80_cov,q90_cov
alanine_phi,NFTSF,0.4775,0.4936,0.6406,0.0013,0.0953,0.1888,0.2756,0.3711,0.4701,0.5733,0.6772,0.7851,0.8905
alanine_phi,CSDI,0.4749,0.4851,0.6191,0.0011,0.1144,0.2091,0.2965,0.3972,0.4859,0.5817,0.6793,0.7795,0.8807
alanine_phi,TSDiff-Cond,0.4785,0.4945,0.6369,0.0011,0.1061,0.1921,0.2825,0.3837,0.4839,0.5811,0.6792,0.7804,0.8849
