Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.5869,0.6970,0.9317,0.4586,0.505,0.894,1.0463,52.37
CSDI,0.5789,0.6751,0.9083,0.4585,0.475,0.874,1.5624,732.39
TSDiff-Cond,0.5799,0.6961,0.9098,0.4584,0.451,0.849,2.8919,664.71
