Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.4772,0.4937,0.6405,0.3285,0.499,0.896,0.9568,203.75
CSDI,0.4769,0.4878,0.6272,0.3240,0.487,0.878,1.3712,720.64
TSDiff-Cond,0.4778,0.4941,0.6364,0.3315,0.494,0.877,1.0786,687.04
