Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.4717,0.4872,0.6332,0.3235,0.501,0.894,0.7010,53.71
CSDI,0.4579,0.4736,0.6078,0.3140,0.482,0.872,1.1896,758.92
TSDiff-Cond,0.4737,0.4887,0.6289,0.3280,0.490,0.877,0.8553,667.32
