Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.6911,0.6963,0.9278,0.4651,0.504,0.895,0.8087,337.97
CSDI,0.7162,0.7102,0.9175,0.4799,0.453,0.864,2.3913,900.59
TSDiff-Cond,0.6952,0.6994,0.9388,0.4678,0.507,0.902,0.8951,678.26
