train_loss,train_elbo_loss,epoch,step,valid_loss,valid_elbo_loss
0.3590112030506134,0.3590112030506134,0,127,,
0.28643524646759033,0.28643524646759033,1,255,,
0.28338155150413513,0.28338155150413513,2,383,,
0.2818625569343567,0.2818625569343567,3,511,,
0.27874186635017395,0.27874186635017395,4,639,,
0.2813328802585602,0.2813328802585602,5,767,,
0.2825714945793152,0.2825714945793152,6,895,,
0.2832406461238861,0.2832406461238861,7,1023,,
0.2781018912792206,0.2781018912792206,8,1151,,
0.27432745695114136,0.27432745695114136,9,1279,,
0.27543318271636963,0.27543318271636963,10,1407,,
0.2802661061286926,0.2802661061286926,11,1535,,
0.2824699878692627,0.2824699878692627,12,1663,,
0.28460174798965454,0.28460174798965454,13,1791,,
0.2774779796600342,0.2774779796600342,14,1919,,
0.2779277563095093,0.2779277563095093,15,2047,,
0.2759596109390259,0.2759596109390259,16,2175,,
0.27176663279533386,0.27176663279533386,17,2303,,
0.27865320444107056,0.27865320444107056,18,2431,,
0.27558252215385437,0.27558252215385437,19,2559,,
0.2699556052684784,0.2699556052684784,20,2687,,
0.2758675217628479,0.2758675217628479,21,2815,,
0.2761871814727783,0.2761871814727783,22,2943,,
0.2775869071483612,0.2775869071483612,23,3071,,
0.27587538957595825,0.27587538957595825,24,3199,,
0.2769504487514496,0.2769504487514496,25,3327,,
0.280414342880249,0.280414342880249,26,3455,,
0.27397677302360535,0.27397677302360535,27,3583,,
0.2789057493209839,0.2789057493209839,28,3711,,
0.2733175456523895,0.2733175456523895,29,3839,,
0.2704855501651764,0.2704855501651764,30,3967,,
0.2711368799209595,0.2711368799209595,31,4095,,
0.27311012148857117,0.27311012148857117,32,4223,,
0.27211472392082214,0.27211472392082214,33,4351,,
0.26999595761299133,0.26999595761299133,34,4479,,
0.2747580409049988,0.2747580409049988,35,4607,,
0.2690756916999817,0.2690756916999817,36,4735,,
0.2763115465641022,0.2763115465641022,37,4863,,
0.27578821778297424,0.27578821778297424,38,4991,,
0.28136223554611206,0.28136223554611206,39,5119,,
0.2831035256385803,0.2831035256385803,40,5247,,
0.2799048125743866,0.2799048125743866,41,5375,,
0.2693452835083008,0.2693452835083008,42,5503,,
0.2750266194343567,0.2750266194343567,43,5631,,
0.27824467420578003,0.27824467420578003,44,5759,,
0.27881160378456116,0.27881160378456116,45,5887,,
0.27671340107917786,0.27671340107917786,46,6015,,
0.27527570724487305,0.27527570724487305,47,6143,,
0.2740615904331207,0.2740615904331207,48,6271,,
,,49,6399,0.2885136306285858,0.2885136306285858
0.2766246497631073,0.2766246497631073,49,6399,,
0.28246575593948364,0.28246575593948364,50,6527,,
0.2792927026748657,0.2792927026748657,51,6655,,
0.27592071890830994,0.27592071890830994,52,6783,,
0.2735735774040222,0.2735735774040222,53,6911,,
0.27056047320365906,0.27056047320365906,54,7039,,
0.2787908911705017,0.2787908911705017,55,7167,,
0.2743454873561859,0.2743454873561859,56,7295,,
0.2793249785900116,0.2793249785900116,57,7423,,
0.2806020975112915,0.2806020975112915,58,7551,,
0.2745354175567627,0.2745354175567627,59,7679,,
0.27743637561798096,0.27743637561798096,60,7807,,
0.2750602960586548,0.2750602960586548,61,7935,,
0.27254223823547363,0.27254223823547363,62,8063,,
0.2781306803226471,0.2781306803226471,63,8191,,
0.27003881335258484,0.27003881335258484,64,8319,,
0.27208268642425537,0.27208268642425537,65,8447,,
0.2730139195919037,0.2730139195919037,66,8575,,
0.274864137172699,0.274864137172699,67,8703,,
0.27876102924346924,0.27876102924346924,68,8831,,
0.27927184104919434,0.27927184104919434,69,8959,,
0.2765040397644043,0.2765040397644043,70,9087,,
0.27617257833480835,0.27617257833480835,71,9215,,
0.2788476049900055,0.2788476049900055,72,9343,,
0.2749074697494507,0.2749074697494507,73,9471,,
0.27079689502716064,0.27079689502716064,74,9599,,
0.2782457768917084,0.2782457768917084,75,9727,,
0.2740369141101837,0.2740369141101837,76,9855,,
0.27527856826782227,0.27527856826782227,77,9983,,
0.26818838715553284,0.26818838715553284,78,10111,,
0.27204665541648865,0.27204665541648865,79,10239,,
0.278572678565979,0.278572678565979,80,10367,,
0.2712143361568451,0.2712143361568451,81,10495,,
0.2671641707420349,0.2671641707420349,82,10623,,
0.27746596932411194,0.27746596932411194,83,10751,,
0.27236711978912354,0.27236711978912354,84,10879,,
0.2784591317176819,0.2784591317176819,85,11007,,
0.2746180295944214,0.2746180295944214,86,11135,,
0.2723684012889862,0.2723684012889862,87,11263,,
0.27737170457839966,0.27737170457839966,88,11391,,
0.2702908515930176,0.2702908515930176,89,11519,,
0.27435949444770813,0.27435949444770813,90,11647,,
0.27117863297462463,0.27117863297462463,91,11775,,
0.2710847854614258,0.2710847854614258,92,11903,,
0.27465641498565674,0.27465641498565674,93,12031,,
0.27534669637680054,0.27534669637680054,94,12159,,
0.27055543661117554,0.27055543661117554,95,12287,,
0.27606895565986633,0.27606895565986633,96,12415,,
0.27952802181243896,0.27952802181243896,97,12543,,
0.2750638723373413,0.2750638723373413,98,12671,,
,,99,12799,0.2768324911594391,0.2768324911594391
0.2708878517150879,0.2708878517150879,99,12799,,
0.27910560369491577,0.27910560369491577,100,12927,,
0.2676403224468231,0.2676403224468231,101,13055,,
0.27473562955856323,0.27473562955856323,102,13183,,
0.26826363801956177,0.26826363801956177,103,13311,,
0.27091312408447266,0.27091312408447266,104,13439,,
