landscape,model,mae_median,mae_mean,mae_sample,isce,q10_cov,q20_cov,q30_cov,q40_cov,q50_cov,q60_cov,q70_cov,q80_cov,q90_cov
alanine_phi,NFTSF,0.4893,0.5029,0.6520,0.0014,0.1025,0.1958,0.2866,0.3843,0.4831,0.5843,0.6903,0.7901,0.8912
alanine_phi,CSDI,0.4730,0.4912,0.6172,0.0019,0.1222,0.2089,0.2975,0.3918,0.4825,0.5744,0.6659,0.7591,0.8528
alanine_phi,TSDiff-Cond,0.4881,0.4948,0.6406,0.0012,0.1061,0.2021,0.2971,0.3980,0.4925,0.5894,0.6867,0.7826,0.8819
