landscape,model,mae,crps,isce_central,isce_lower,ci0,ci10,ci20,ci30,ci40,ci50,ci60,ci70,ci80,ci90,ci100,q0,q10,q20,q30,q40,q50,q60,q70,q80,q90,q100
alanine_phi,NFTSF,0.4893,0.0012,0.0012,0.0014,0.0000,0.0980,0.1999,0.3031,0.4037,0.4997,0.5943,0.6919,0.7887,0.8838,1.0000,0.0000,0.1025,0.1958,0.2866,0.3843,0.4831,0.5843,0.6903,0.7901,0.8912,1.0000
alanine_phi,CSDI,0.4730,0.0030,0.0030,0.0019,0.0000,0.0911,0.1826,0.2798,0.3683,0.4588,0.5502,0.6368,0.7306,0.8348,1.0000,0.0000,0.1222,0.2089,0.2975,0.3918,0.4825,0.5744,0.6659,0.7591,0.8528,1.0000
alanine_phi,TSDiff-Cond,0.4881,0.0014,0.0014,0.0012,0.0000,0.0959,0.1914,0.2923,0.3896,0.4887,0.5805,0.6739,0.7759,0.8729,1.0000,0.0000,0.1061,0.2021,0.2971,0.3980,0.4925,0.5894,0.6867,0.7826,0.8819,1.0000
