Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.4717,0.4872,0.6332,0.3235,0.501,0.894,0.7010,53.71
CSDI,0.4579,0.4736,0.6078,0.3140,0.482,0.872,1.1896,758.92
TSDiff-Cond,0.4737,0.4887,0.6289,0.3280,0.490,0.877,0.8553,667.32
TSDiff-Q,0.4783,0.4766,0.8185,0.3423,0.572,0.942,4.4203,415.40
TSDiff-MS,0.4769,0.4976,0.6317,0.3307,0.478,0.869,1.3124,411.85
ARIMA,0.5182,0.5184,0.7314,0.3818,0.433,0.835,4.3491,1277.97
