landscape,model,mae,crps,isce_central,isce_lower,ci0,ci10,ci20,ci30,ci40,ci50,ci60,ci70,ci80,ci90,ci100,q0,q10,q20,q30,q40,q50,q60,q70,q80,q90,q100
alanine_phi,NFTSF,0.4729,0.0007,0.0007,0.0014,0.0000,0.0904,0.1864,0.2965,0.3981,0.4925,0.5965,0.6923,0.8011,0.8925,1.0000,0.0000,0.0925,0.1893,0.2797,0.3773,0.4701,0.5637,0.6779,0.7859,0.8936,1.0000
alanine_phi,CSDI,0.4710,0.0013,0.0013,0.0014,0.0000,0.0859,0.1795,0.2811,0.3795,0.4749,0.5629,0.6605,0.7701,0.8725,1.0000,0.0000,0.1061,0.2085,0.2901,0.3872,0.4784,0.5667,0.6696,0.7715,0.8763,1.0000
alanine_phi,TSDiff-Cond,0.4743,0.0009,0.0009,0.0011,0.0000,0.0912,0.1880,0.2899,0.3888,0.4869,0.5837,0.6813,0.7819,0.8733,1.0000,0.0000,0.1016,0.2027,0.2947,0.3979,0.4888,0.5859,0.6835,0.7864,0.8835,1.0000
