Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.5336,0.5378,0.7233,0.3670,0.481,0.896,0.6001,86.20
CSDI,0.5363,0.5374,0.7002,0.3708,0.446,0.865,2.3195,881.18
TSDiff-Cond,0.5319,0.5390,0.7235,0.3668,0.486,0.890,0.6948,571.61
