landscape,model,mae,crps,ci50,ci90
alanine_psi,NFTSF,0.9368,0.6587,0.4929,0.8963
alanine_psi,CSDI,0.9112,0.6560,0.4264,0.8177
alanine_psi,TSDiff-Cond,0.9300,0.6963,0.5003,0.8658
