Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.4925,0.4929,0.6914,0.3452,0.497,0.901,0.4512,86.32
CSDI,0.4942,0.4943,0.6426,0.3505,0.414,0.832,4.9459,994.02
TSDiff-Cond,0.4956,0.4953,0.6943,0.3473,0.479,0.892,1.0016,672.42
TSDiff-Q,0.5631,0.5642,0.8199,0.3967,0.500,0.932,1.3740,723.50
TSDiff-MS,0.5923,0.5921,0.8792,0.4190,0.552,0.928,2.8315,693.89
ARIMA,1.0653,1.0651,1.2316,0.8658,0.274,0.542,57.9857,7273.86
