landscape,model,mae,crps,isce_central,isce_lower,ci10,ci20,ci30,ci40,ci50,ci60,ci70,ci80,ci90,q10,q20,q30,q40,q50,q60,q70,q80,q90
alanine_psi,NFTSF,0.5869,0.0012,0.0012,0.0009,0.1043,0.2021,0.3061,0.4043,0.5048,0.6080,0.7016,0.7955,0.8941,0.0957,0.1925,0.2971,0.3992,0.5072,0.6013,0.7013,0.8005,0.8912
alanine_psi,CSDI,0.9650,0.0013,0.0013,0.0015,0.0891,0.1851,0.2872,0.3848,0.4864,0.5728,0.6675,0.7704,0.8744,0.1069,0.2048,0.2936,0.3957,0.4869,0.5808,0.6784,0.7776,0.8773
alanine_psi,TSDiff-Cond,0.5799,0.0032,0.0032,0.0013,0.0829,0.1813,0.2707,0.3624,0.4507,0.5451,0.6424,0.7456,0.8493,0.1144,0.2232,0.3088,0.4056,0.4947,0.5869,0.6712,0.7683,0.8600
