landscape,model,mae_median,mae_mean,mae_sample,ci50,ci90,isce_central,q50,q90,isce_lower,time_elapsed
alanine_psi,NFTSF,0.586865,0.696983,0.931700,0.504800,0.894133,0.001046,0.507200,0.891200,0.000850,52.37
alanine_psi,CSDI,0.965008,0.997164,1.280337,0.486400,0.874400,0.001154,0.486933,0.877333,0.001318,725.80
alanine_psi,TSDiff-Cond,0.579881,0.696060,0.909801,0.450667,0.849333,0.002892,0.494667,0.860000,0.001297,664.71
