Model,MAE (med),MAE (mean),MAE (sample),CI50,CI90,ISCE (*1000)
NFTSF,0.4885,0.5026,0.6517,0.502,0.887,1.2046
CSDI,0.4876,0.4986,0.6284,0.451,0.846,3.1823
TSDiff-Cond,0.4872,0.4943,0.6400,0.488,0.875,1.3726
