Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.6911,0.6963,0.9278,0.4651,0.504,0.895,0.8087,337.97
CSDI,0.7162,0.7102,0.9175,0.4799,0.453,0.864,2.3913,900.59
TSDiff-Cond,0.6952,0.6994,0.9388,0.4678,0.507,0.902,0.8951,678.26
TSDiff-Q,0.7325,0.7351,0.9796,0.4914,0.494,0.903,1.2756,872.91
TSDiff-MS,0.7667,0.7638,1.0137,0.5110,0.493,0.903,1.0174,874.67
ARIMA,1.1759,1.1774,1.7167,0.9064,0.408,0.715,14.4660,11812.62
