Model,MAE (med),MAE (mean),MAE (sample),CI50,CI90,ISCE (*1000)
NFTSF,0.7327,0.8663,1.1143,0.505,0.899,1.1629
CSDI,0.7441,0.8634,1.1018,0.487,0.864,1.6815
TSDiff-Cond,0.7402,0.8659,1.1107,0.495,0.884,1.1935
