landscape,model,mae,crps,isce_central,isce_lower,ci0,ci10,ci20,ci30,ci40,ci50,ci60,ci70,ci80,ci90,ci100,q0,q10,q20,q30,q40,q50,q60,q70,q80,q90,q100
alanine_psi,NFTSF,0.7332,0.0012,0.0012,0.0009,0.0000,0.1012,0.2068,0.3083,0.4067,0.5059,0.6112,0.7088,0.7991,0.8943,1.0000,0.0000,0.0923,0.1869,0.2873,0.3929,0.4981,0.5997,0.6940,0.7981,0.8913,1.0000
alanine_psi,CSDI,0.7226,0.0025,0.0025,0.0013,0.0000,0.0875,0.1765,0.2735,0.3607,0.4516,0.5519,0.6576,0.7551,0.8561,1.0000,0.0000,0.1135,0.2207,0.3123,0.4075,0.5001,0.5840,0.6729,0.7725,0.8685,1.0000
alanine_psi,TSDiff-Cond,0.7405,0.0011,0.0011,0.0011,0.0000,0.0979,0.1935,0.2975,0.3959,0.4939,0.5965,0.6975,0.7879,0.8840,1.0000,0.0000,0.0944,0.1873,0.2868,0.3857,0.4876,0.5792,0.6827,0.7839,0.8823,1.0000
