Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.4717,0.4872,0.6332,0.3235,0.501,0.894,0.7010,53.71
CSDI,0.4568,0.4730,0.6080,0.3134,0.486,0.876,1.0924,755.00
TSDiff-Cond,0.4724,0.4825,0.6354,0.3276,0.488,0.886,0.8472,660.67
