landscape,model,mae_median,mae_mean,mae_sample,isce,q10_cov,q20_cov,q30_cov,q40_cov,q50_cov,q60_cov,q70_cov,q80_cov,q90_cov
alanine_psi,NFTSF,0.5860,0.6937,0.9271,0.0009,0.0976,0.1933,0.2976,0.3941,0.5048,0.6021,0.6984,0.7995,0.8907
alanine_psi,CSDI,0.5802,0.6675,0.8816,0.0012,0.1216,0.2248,0.3160,0.4136,0.5064,0.5917,0.6816,0.7797,0.8685
alanine_psi,TSDiff-Cond,0.5800,0.6960,0.9103,0.0012,0.1109,0.2203,0.3107,0.4003,0.4984,0.5851,0.6693,0.7659,0.8648
