landscape,model,mae,crps,isce_central,isce_lower,ci0,ci10,ci20,ci30,ci40,ci50,ci60,ci70,ci80,ci90,ci100,q0,q10,q20,q30,q40,q50,q60,q70,q80,q90,q100
alanine_psi,NFTSF,0.5860,0.0011,0.0011,0.0009,0.0000,0.1032,0.2080,0.3075,0.4008,0.4957,0.6061,0.7005,0.7931,0.8947,1.0000,0.0000,0.0976,0.1933,0.2976,0.3941,0.5048,0.6021,0.6984,0.7995,0.8907,1.0000
alanine_psi,CSDI,0.5802,0.0025,0.0025,0.0012,0.0000,0.0904,0.1781,0.2704,0.3656,0.4512,0.5549,0.6504,0.7469,0.8592,1.0000,0.0000,0.1216,0.2248,0.3160,0.4136,0.5064,0.5917,0.6816,0.7797,0.8685,1.0000
alanine_psi,TSDiff-Cond,0.5800,0.0028,0.0028,0.0012,0.0000,0.0925,0.1848,0.2741,0.3587,0.4509,0.5456,0.6405,0.7539,0.8523,1.0000,0.0000,0.1109,0.2203,0.3107,0.4003,0.4984,0.5851,0.6693,0.7659,0.8648,1.0000
