Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.6033,0.6037,0.8469,0.4228,0.497,0.901,0.4512,86.32
CSDI,0.6048,0.6037,0.7872,0.4286,0.417,0.837,4.8356,1003.25
TSDiff-Cond,0.6071,0.6067,0.8505,0.4253,0.479,0.892,1.0016,672.42
