landscape,model,mae,crps,ci50,ci90
alanine_psi,NFTSF,0.7300,0.5544,0.4985,0.8915
alanine_psi,CSDI,0.7240,0.5547,0.4545,0.8568
alanine_psi,TSDiff-Cond,0.7305,0.5675,0.4929,0.8608
