Model,MAE (med),MAE (mean),MAE (sample),CI50,CI90,ISCE (*1000)
NFTSF,0.2495,0.2500,0.3559,0.518,0.899,0.4152
CSDI,0.2466,0.2460,0.3341,0.461,0.857,1.8429
TSDiff-Cond,0.2579,0.2583,0.3582,0.497,0.889,0.9055
