landscape,model,mae,crps,isce_central,isce_lower,ci0,ci10,ci20,ci30,ci40,ci50,ci60,ci70,ci80,ci90,ci100,q0,q10,q20,q30,q40,q50,q60,q70,q80,q90,q100
alanine_psi,NFTSF,0.9368,0.0012,0.0012,0.0008,0.0000,0.0940,0.1922,0.2964,0.3944,0.4929,0.5952,0.6949,0.7942,0.8963,1.0000,0.0000,0.0998,0.2015,0.2994,0.4053,0.5031,0.5975,0.6938,0.7967,0.8940,1.0000
alanine_psi,CSDI,0.9112,0.0050,0.0050,0.0019,0.0000,0.0850,0.1664,0.2505,0.3356,0.4264,0.5246,0.6247,0.7179,0.8177,1.0000,0.0000,0.1252,0.2323,0.3371,0.4251,0.5081,0.5915,0.6727,0.7569,0.8431,1.0000
alanine_psi,TSDiff-Cond,0.9300,0.0015,0.0015,0.0066,0.0000,0.1071,0.2138,0.3090,0.4063,0.5003,0.5915,0.6837,0.7713,0.8658,1.0000,0.0000,0.0807,0.1399,0.2101,0.2939,0.4020,0.5077,0.6163,0.7313,0.8521,1.0000
