Model,MAE (med),MAE (mean),MAE (sample),CI50,CI90,ISCE (*1000)
NFTSF,0.9349,1.0757,1.3181,0.497,0.898,1.1785
CSDI,0.9172,1.0743,1.2985,0.472,0.853,2.0570
TSDiff-Cond,0.9292,1.1735,1.3981,0.500,0.866,1.4826
