landscape,model,mae_median,mae_mean,mae_sample,isce,q10_cov,q20_cov,q30_cov,q40_cov,q50_cov,q60_cov,q70_cov,q80_cov,q90_cov
alanine_psi,NFTSF,0.9368,1.0765,1.3186,0.0008,0.0998,0.2015,0.2994,0.4053,0.5031,0.5975,0.6938,0.7967,0.8940
alanine_psi,CSDI,0.9112,1.0291,1.2444,0.0019,0.1252,0.2323,0.3371,0.4251,0.5081,0.5915,0.6727,0.7569,0.8431
alanine_psi,TSDiff-Cond,0.9300,1.1708,1.3963,0.0067,0.0807,0.1399,0.2101,0.2939,0.4020,0.5077,0.6163,0.7313,0.8521
