landscape,model,mae,crps,ci50,ci90
alanine_psi,NFTSF,0.5878,0.4631,0.5035,0.8931
alanine_psi,CSDI,0.5802,0.4582,0.4533,0.8528
alanine_psi,TSDiff-Cond,0.5847,0.4613,0.4549,0.8565
