train_loss,train_elbo_loss,epoch,step,valid_loss,valid_elbo_loss
0.22217389941215515,0.22217389941215515,0,127,,
0.1113416776061058,0.1113416776061058,1,255,,
0.09966861456632614,0.09966861456632614,2,383,,
0.09602699428796768,0.09602699428796768,3,511,,
0.09432889521121979,0.09432889521121979,4,639,,
0.0919932872056961,0.0919932872056961,5,767,,
0.09204933792352676,0.09204933792352676,6,895,,
0.08994201570749283,0.08994201570749283,7,1023,,
0.08940481394529343,0.08940481394529343,8,1151,,
0.09079395979642868,0.09079395979642868,9,1279,,
0.09092020243406296,0.09092020243406296,10,1407,,
0.08824113011360168,0.08824113011360168,11,1535,,
0.08762497454881668,0.08762497454881668,12,1663,,
0.08896129578351974,0.08896129578351974,13,1791,,
0.0877092257142067,0.0877092257142067,14,1919,,
0.08878760039806366,0.08878760039806366,15,2047,,
0.08812647312879562,0.08812647312879562,16,2175,,
0.08764942735433578,0.08764942735433578,17,2303,,
0.08797851949930191,0.08797851949930191,18,2431,,
0.08673287183046341,0.08673287183046341,19,2559,,
0.08724258840084076,0.08724258840084076,20,2687,,
0.08735412359237671,0.08735412359237671,21,2815,,
0.08780945837497711,0.08780945837497711,22,2943,,
0.08789277821779251,0.08789277821779251,23,3071,,
0.08465559780597687,0.08465559780597687,24,3199,,
0.0876597911119461,0.0876597911119461,25,3327,,
0.08666908740997314,0.08666908740997314,26,3455,,
0.08525022119283676,0.08525022119283676,27,3583,,
0.08544965088367462,0.08544965088367462,28,3711,,
0.08844934403896332,0.08844934403896332,29,3839,,
0.08541619032621384,0.08541619032621384,30,3967,,
0.08625424653291702,0.08625424653291702,31,4095,,
0.08688924461603165,0.08688924461603165,32,4223,,
0.08596540987491608,0.08596540987491608,33,4351,,
0.08547310531139374,0.08547310531139374,34,4479,,
0.08459373563528061,0.08459373563528061,35,4607,,
0.08378621190786362,0.08378621190786362,36,4735,,
0.08544771373271942,0.08544771373271942,37,4863,,
0.08593558520078659,0.08593558520078659,38,4991,,
0.08601505309343338,0.08601505309343338,39,5119,,
0.08633548021316528,0.08633548021316528,40,5247,,
0.08547991514205933,0.08547991514205933,41,5375,,
0.08765856921672821,0.08765856921672821,42,5503,,
0.08600988984107971,0.08600988984107971,43,5631,,
0.08738618344068527,0.08738618344068527,44,5759,,
0.08354391157627106,0.08354391157627106,45,5887,,
0.08730868995189667,0.08730868995189667,46,6015,,
0.08755750209093094,0.08755750209093094,47,6143,,
0.08582694083452225,0.08582694083452225,48,6271,,
,,49,6399,0.08577706664800644,0.08577706664800644
0.0850328579545021,0.0850328579545021,49,6399,,
0.0847930982708931,0.0847930982708931,50,6527,,
0.08430002629756927,0.08430002629756927,51,6655,,
0.08517726510763168,0.08517726510763168,52,6783,,
0.08757442235946655,0.08757442235946655,53,6911,,
0.08754958212375641,0.08754958212375641,54,7039,,
0.08572373539209366,0.08572373539209366,55,7167,,
0.08534018695354462,0.08534018695354462,56,7295,,
0.08393830806016922,0.08393830806016922,57,7423,,
0.08604578673839569,0.08604578673839569,58,7551,,
0.08733475208282471,0.08733475208282471,59,7679,,
0.08731820434331894,0.08731820434331894,60,7807,,
0.08539585769176483,0.08539585769176483,61,7935,,
0.08650672435760498,0.08650672435760498,62,8063,,
0.08531811833381653,0.08531811833381653,63,8191,,
0.08454040437936783,0.08454040437936783,64,8319,,
0.08685702085494995,0.08685702085494995,65,8447,,
0.0859648585319519,0.0859648585319519,66,8575,,
0.0864245593547821,0.0864245593547821,67,8703,,
0.08578044921159744,0.08578044921159744,68,8831,,
0.08563775569200516,0.08563775569200516,69,8959,,
0.08828142285346985,0.08828142285346985,70,9087,,
0.0875026062130928,0.0875026062130928,71,9215,,
0.08602428436279297,0.08602428436279297,72,9343,,
0.08569090068340302,0.08569090068340302,73,9471,,
0.08497566729784012,0.08497566729784012,74,9599,,
0.08439383655786514,0.08439383655786514,75,9727,,
0.08688972890377045,0.08688972890377045,76,9855,,
0.08380337059497833,0.08380337059497833,77,9983,,
0.08547759056091309,0.08547759056091309,78,10111,,
0.08683545887470245,0.08683545887470245,79,10239,,
0.08576763421297073,0.08576763421297073,80,10367,,
0.08481394499540329,0.08481394499540329,81,10495,,
0.0856640413403511,0.0856640413403511,82,10623,,
0.08584482967853546,0.08584482967853546,83,10751,,
0.08526051044464111,0.08526051044464111,84,10879,,
0.08471709489822388,0.08471709489822388,85,11007,,
0.08565935492515564,0.08565935492515564,86,11135,,
0.08648458868265152,0.08648458868265152,87,11263,,
0.08443839848041534,0.08443839848041534,88,11391,,
0.08488644659519196,0.08488644659519196,89,11519,,
0.08389727026224136,0.08389727026224136,90,11647,,
0.0846903845667839,0.0846903845667839,91,11775,,
0.08514728397130966,0.08514728397130966,92,11903,,
0.08596926182508469,0.08596926182508469,93,12031,,
0.08417335897684097,0.08417335897684097,94,12159,,
0.08605029433965683,0.08605029433965683,95,12287,,
0.08759178221225739,0.08759178221225739,96,12415,,
0.08583112806081772,0.08583112806081772,97,12543,,
0.0862773209810257,0.0862773209810257,98,12671,,
,,99,12799,0.08751625567674637,0.08751625567674637
0.08419960737228394,0.08419960737228394,99,12799,,
0.08450693637132645,0.08450693637132645,100,12927,,
0.08698471635580063,0.08698471635580063,101,13055,,
0.08527150750160217,0.08527150750160217,102,13183,,
0.08648008853197098,0.08648008853197098,103,13311,,
0.0847240462899208,0.0847240462899208,104,13439,,
0.08421556651592255,0.08421556651592255,105,13567,,
0.08496088534593582,0.08496088534593582,106,13695,,
0.08401992917060852,0.08401992917060852,107,13823,,
0.08552898466587067,0.08552898466587067,108,13951,,
0.08597662299871445,0.08597662299871445,109,14079,,
0.08539439737796783,0.08539439737796783,110,14207,,
0.08452995121479034,0.08452995121479034,111,14335,,
0.08615689724683762,0.08615689724683762,112,14463,,
0.08642136305570602,0.08642136305570602,113,14591,,
0.0862128809094429,0.0862128809094429,114,14719,,
0.08458475768566132,0.08458475768566132,115,14847,,
0.08482682704925537,0.08482682704925537,116,14975,,
0.08333944529294968,0.08333944529294968,117,15103,,
0.08617396652698517,0.08617396652698517,118,15231,,
0.08340819925069809,0.08340819925069809,119,15359,,
0.08463988453149796,0.08463988453149796,120,15487,,
0.0848296731710434,0.0848296731710434,121,15615,,
0.08416695892810822,0.08416695892810822,122,15743,,
0.08554156869649887,0.08554156869649887,123,15871,,
0.08528317511081696,0.08528317511081696,124,15999,,
0.0856175571680069,0.0856175571680069,125,16127,,
0.08585917949676514,0.08585917949676514,126,16255,,
0.08526826649904251,0.08526826649904251,127,16383,,
0.08585212379693985,0.08585212379693985,128,16511,,
0.08266270905733109,0.08266270905733109,129,16639,,
0.08325570076704025,0.08325570076704025,130,16767,,
0.08384999632835388,0.08384999632835388,131,16895,,
0.08266111463308334,0.08266111463308334,132,17023,,
0.08492033928632736,0.08492033928632736,133,17151,,
0.08654894679784775,0.08654894679784775,134,17279,,
0.08459512889385223,0.08459512889385223,135,17407,,
0.08468026667833328,0.08468026667833328,136,17535,,
0.08300665766000748,0.08300665766000748,137,17663,,
0.08444266021251678,0.08444266021251678,138,17791,,
0.08653488010168076,0.08653488010168076,139,17919,,
0.08578001707792282,0.08578001707792282,140,18047,,
0.08494435995817184,0.08494435995817184,141,18175,,
0.08504123985767365,0.08504123985767365,142,18303,,
0.08790156990289688,0.08790156990289688,143,18431,,
0.08573373407125473,0.08573373407125473,144,18559,,
