Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.4925,0.4929,0.6914,0.3452,0.497,0.901,0.4512,86.32
CSDI,0.4942,0.4943,0.6426,0.3505,0.414,0.832,4.9459,994.02
TSDiff-Cond,0.4956,0.4953,0.6943,0.3473,0.479,0.892,1.0016,672.42
