Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.5869,0.6970,0.9317,0.4586,0.505,0.894,1.0463,52.41
CSDI,0.5804,0.6796,0.8937,0.4538,0.467,0.863,2.1015,727.92
TSDiff-Cond,0.5889,0.6859,0.9360,0.4608,0.478,0.894,1.6752,664.88
