Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.5336,0.5378,0.7233,0.3670,0.481,0.896,0.6001,86.20
CSDI,0.5363,0.5374,0.7002,0.3708,0.446,0.865,2.3195,881.18
TSDiff-Cond,0.5319,0.5390,0.7235,0.3668,0.486,0.890,0.6948,571.61
TSDiff-Q,0.6012,0.6130,0.8414,0.4126,0.515,0.922,1.9812,685.05
TSDiff-MS,0.6759,0.6752,0.9013,0.4551,0.481,0.916,0.9060,668.81
ARIMA,1.0427,1.0438,1.2876,0.8384,0.288,0.570,49.2810,8237.29
