landscape,model,mae,crps,isce_central,isce_lower,ci0,ci10,ci20,ci30,ci40,ci50,ci60,ci70,ci80,ci90,ci100,q0,q10,q20,q30,q40,q50,q60,q70,q80,q90,q100
alanine_psi,NFTSF,0.5878,0.0011,0.0011,0.0009,0.0000,0.1029,0.2067,0.3115,0.4107,0.5035,0.6069,0.7000,0.7984,0.8931,1.0000,0.0000,0.0912,0.1907,0.2869,0.3891,0.4979,0.5957,0.6976,0.7976,0.8896,1.0000
alanine_psi,CSDI,0.5802,0.0026,0.0026,0.0012,0.0000,0.0912,0.1829,0.2712,0.3635,0.4533,0.5480,0.6483,0.7573,0.8528,1.0000,0.0000,0.1069,0.2165,0.3085,0.4003,0.4987,0.5832,0.6720,0.7645,0.8643,1.0000
alanine_psi,TSDiff-Cond,0.5847,0.0026,0.0026,0.0013,0.0000,0.0915,0.1779,0.2728,0.3589,0.4549,0.5488,0.6464,0.7539,0.8565,1.0000,0.0000,0.1104,0.2187,0.3056,0.3963,0.4893,0.5741,0.6645,0.7675,0.8643,1.0000
