Model,MAE (med),MAE (mean),MAE (sample),CRPS,CI50,CI90,ISCE (*1000),Time (s)
NFTSF,0.4772,0.4937,0.6405,0.3285,0.499,0.896,0.9568,203.75
CSDI,0.4762,0.4877,0.6271,0.3237,0.485,0.880,1.3430,667.61
TSDiff-Cond,0.4783,0.4906,0.6475,0.3319,0.491,0.879,1.1603,664.80
TSDiff-Q,0.4792,0.4860,0.8611,0.3525,0.585,0.944,5.4113,547.71
TSDiff-MS,0.4801,3.1135,4.1711,0.3426,0.477,0.869,1.5365,539.07
ARIMA,0.5005,0.4999,0.7277,0.3671,0.441,0.868,2.8039,1260.07
